0x #of reinitializations, #particle, #step,loop time, average time, trms, reset_time
1x max_reinit, nparticle, nstep, blocks, threads, full_exe_elapsed, reset_time_sum, reset_time_sum/max_reinit
1 1 10000 200 4 128 22.36 20.48 20.48
1 1 10000 200 4 256 24.55 22.66 22.66
1 1 10000 200 4 512 31.17 29.44 29.44
1 1 10000 200 16 1 45.39 43.64 43.64
1 1 10000 200 16 16 23.11 21.3 21.3
1 1 10000 200 16 64 22.42 20.61 20.61
1 1 10000 200 16 128 22.16 20.44 20.44
1 1 10000 200 16 256 28.96 27.13 27.13
1 1 10000 200 16 512 48.73 46.94 46.94
1 1 10000 200 32 1 44.24 42.54 42.54
1 1 10000 200 32 16 23.07 21.3 21.3
1 1 10000 200 32 64 22.35 20.66 20.66
1 1 10000 200 32 128 26.27 24.49 24.49
1 1 10000 200 32 256 38.33 36.64 36.64
1 1 10000 200 32 512 48.77 47 47
1 1 10000 200 64 1 44.01 42.23 42.23
1 1 10000 200 64 16 23.15 21.37 21.37
1 1 10000 200 64 64 26.66 24.8 24.8
1 1 10000 200 64 128 34.67 32.83 32.83
1 1 10000 200 64 256 38.61 36.84 36.84
1 1 10000 200 64 512 95.52 93.8 93.8
1 1 10000 200 128 1 44.17 42.35 42.35
1 1 10000 200 128 16 23.36 21.58 21.58
1 1 10000 200 128 64 35.11 33.3 33.3
1 1 10000 200 128 128 34.63 32.86 32.86
1 1 10000 200 128 256 75.02 73.21 73.21
1 1 10000 200 128 512 188.96 187.12 187.12
1 1 50000 200 1 1 353.73 351.87 351.87
1 1 50000 200 1 16 115.66 113.91 113.91
1 1 50000 200 1 64 104.23 102.48 102.48
1 1 50000 200 1 128 102.4 100.62 100.62
1 1 50000 200 1 256 114.37 112.56 112.56
1 1 50000 200 1 512 145.53 143.74 143.74
1 1 50000 200 4 1 253.66 251.87 251.87
1 1 50000 200 4 16 106.58 104.78 104.78
1 1 50000 200 4 64 101.7 99.9 99.9
1 1 50000 200 4 128 100.68 98.87 98.87
1 1 50000 200 4 256 110.66 108.97 108.97
1 1 50000 200 4 512 147.17 145.53 145.53
1 1 50000 200 16 1 218.24 216.54 216.54
1 1 50000 200 16 16 104.58 102.84 102.84
1 1 50000 200 16 64 101.06 99.35 99.35
1 1 50000 200 16 128 102.22 100.52 100.52
1 1 50000 200 16 256 117.49 115.77 115.77
1 1 50000 200 16 512 165.21 163.36 163.36
1 1 50000 200 32 1 212.94 211.15 211.15
1 1 50000 200 32 16 104.26 102.52 102.52
1 1 50000 200 32 64 103.21 101.33 101.33
1 1 50000 200 32 128 106.36 104.62 104.62
1 1 50000 200 32 256 129 127.18 127.18
1 1 50000 200 32 512 188.8 186.92 186.92
1 1 50000 200 64 1 209.85 208.06 208.06
1 1 50000 200 64 16 104.27 102.46 102.46
1 1 50000 200 64 64 107.24 105.48 105.48
1 1 50000 200 64 128 116.1 114.28 114.28
1 1 50000 200 64 256 147.19 145.35 145.35
1 1 50000 200 64 512 189.39 187.58 187.58
1 1 50000 200 128 1 208.93 207.13 207.13
1 1 50000 200 128 16 106.45 104.66 104.66
1 1 50000 200 128 64 118.19 116.3 116.3
1 1 50000 200 128 128 140.12 138.39 138.39
1 1 50000 200 128 256 165.64 163.94 163.94
1 1 50000 200 128 512 319.39 317.68 317.68
1 1 100000 200 1 1 710.07 708.29 708.29
1 1 100000 200 1 16 229.65 227.82 227.82
1 1 100000 200 1 64 206.25 204.47 204.47
1 1 100000 200 1 128 202.5 200.85 200.85
1 1 100000 200 1 256 225.87 224.02 224.02
1 1 100000 200 1 512 289.18 287.33 287.33
1 1 100000 200 4 1 507.84 505.93 505.93
1 1 100000 200 4 16 210.95 209.08 209.08
1 1 100000 200 4 64 200.66 198.88 198.88
1 1 100000 200 4 128 199.11 197.34 197.34
1 1 100000 200 4 256 218.13 216.29 216.29
1 1 100000 200 4 512 287.03 285.2 285.2
1 1 100000 200 16 1 434.97 433.2 433.2
1 1 100000 200 16 16 206.54 204.78 204.78
1 1 100000 200 16 64 200.08 198.33 198.33
1 1 100000 200 16 128 198.39 196.67 196.67
1 1 100000 200 16 256 223.03 221.14 221.14
1 1 100000 200 16 512 305.06 303.18 303.18
1 1 100000 200 32 1 423.63 421.92 421.92
1 1 100000 200 32 16 206.43 204.67 204.67
1 1 100000 200 32 64 199.95 198.22 198.22
1 1 100000 200 32 128 202.46 200.66 200.66
1 1 100000 200 32 256 238.69 236.99 236.99
1 1 100000 200 32 512 328.9 326.98 326.98
1 1 100000 200 64 1 418.03 416.22 416.22
1 1 100000 200 64 16 206.13 204.41 204.41
1 1 100000 200 64 64 204.09 202.31 202.31
1 1 100000 200 64 128 213.81 211.97 211.97
1 1 100000 200 64 256 257.27 255.45 255.45
1 1 100000 200 64 512 375.73 373.99 373.99
1 1 100000 200 128 1 415.13 413.39 413.39
1 1 100000 200 128 16 206.18 204.33 204.33
1 1 100000 200 128 64 217.51 215.69 215.69
1 1 100000 200 128 128 245.77 243.97 243.97
1 1 100000 200 128 256 347.39 345.63 345.63
1 1 100000 200 128 512 506.6 504.79 504.79
